no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
1	hence	hens	hEns	hEnz		110	T	what?		CJS	NN2		0.07	0.0175		
2	neither	nether	niD0r	nED0r	coll. nether world	158	T			PNI	NN1	R	0.28	0.056		
3	and loaf	alone	0nl5f	0.l5n	idiom live by bread alone	140	B			CJS NN1	AV0	E+	0.76	0.152		
4	dun her	dinner	d^n0r	dIn0r	title man who came to dinner (Moss)	71	B			VVB PNP	NN1	Q+	0.29	0.058		
5	kama	camel	kam0.	k&m0l	coll. made of camel hair	128	T			UNC	NN1	I	0.26	0.052		
6	kith	kiss	kIT	kIs	idiom kissing cousins	130	T			NN1	NN1	C+	0.11	0.036666665		
7	miaow	me how	mi.2	mih2		149	T			ITJ	PNP AVQ		0.07	0.0175		
8	N	end	En.	End	coll. end man	156	T	see also Nero		ZZ0	NN1	R	0.09	0.03		
9	spoorious	spurious	sp.8ri0s	spjuri0s	coll. spurious claim	217	B			AJ0	AJ0	C	0.38	0.0475		
10	vasted	vested	v&stId	vEstId	coll. vested interest	243	T			AJ0	AJ0	C	0.19	0.031666666		
11	abdominal	abominable	0bdamIn..l	0b.amIn0bl	coll. abominable snowman	5	B			AJ0	AJ0	C	0.39	0.039		
12	acidic	I see Dick	0sIdIk	1sidIk		7	ne			AJ0	PNP VVB NP0		0.35	0.058333334	e	
13	acoustic	a cue stick	0k.ustIk	0kjustIk	coll. cue stick	7	ne			AJ0	AT0 NN1 NN1	R	0.09	0.01125		
14	adamant	Adam and	&d0m0nt	&d0m0nd	coll. Adam and Eve	7	ne			AJ0	NP0 CJC	B	0.11	0.015714286		
15	alike	I like	0l1k	1l1k	idiom I like to think so	10	T	adnominatio		AJ0	PNP VVB	I+	0.2	0.05		
16	alimentary	elementary	&l0mEn?0rI	El0mEn?0rI	quote elementary, my dear watson	10	B	what?		AJ0	AJ0	Q+	0.19	0.019		
17	artesian	a-teasin'	0rtiZ0n	0.tiz0n		16	T	a-Xing prefix		AJ0	VVG		0.41	0.058571428		
18	awkward	hawk ward	.Okw0rd	hOkwOrd	_def.	20	ne			AJ0	NN1 NN1		0.32	0.045714285		
19	backward	back ward	b&kw0rd	b&kwOrd	_def.	22	ne			AJ0	NN0 NN1		0.25	0.035714287		
20	bellicose	belly 'cause	bElIk5s	bElIkOz		28	T			AJ0	NN1 CJC		0.33	0.047142856	l	
21	bellicose	very close	bElIk.5s	vErIkl5s	_def.	28	ne		Chinese	AJ0	AV0 AJ0		0.37	0.04625		
22	benign	be nine	bIn1n	bin1n	_def.	28	ne			AJ0	VBI CRD		0.15	0.03		
23	boisterous	boys to us	b3st0r0s	b3zt0.0s		32	T			AJ0	NN2 PRP PNP		0.1	0.0125		
24	bonkers	yonkers	baNk0rz	jaNk0rz	_def.	32	ne			AJ0	NP0		0.66	0.09428571		
25	brief	beef	brif	b.if	coll. beefeater	35	B			AJ0	NN0	R	0.03	0.0075		
26	chary	cherry	C7rI	CErI	coll. cherry picker	46	B			AJ0	NN1	R	0.29	0.0725		
27	chic	cheek	Sik	Cik	idiom tongue in cheek	47	T			AJ0	NN1	I+	0.15	0.05		
28	coined	kind	k3nd	k1nd	idiom my kinda girl	51	T			AJ0	NN1	I+	0.28	0.07		
29	comical	chemical	kamIk0l	kEmIk0l	coll. chemical combination	52	B			AJ0	AJ0	C	0.27	0.03857143		
30	consecrated	concentrated	kans0.kr4tId	kans0ntr4tId	coll. concentrated lye	54	B			AJ0	AJ0	C	0.24	0.02		
31	contrite	can't write	k0ntr1t	k&ntr1t		54	T			AJ0	VM0 NN0 VVB		0.24	0.034285713		
32	covert	cover	k5v9rt	k^v0r.	idiom from cover to cover	57	T	eye-pun		AJ0	NN1	E+	0.64	0.10666667	l	
33	curly	pearly	k9rlI	p9rlI	coll. Pearly Gates	60	B			AJ0	AJ0	R	0.23	0.046		
34	curtain	certain	k9r?0n	s9r?0n	idiom a certain something	61	B			AJ0	AJ0	T+	0.27	0.045		
35	disgusting	this gusting	dIsg^stIN	DIsg^stIN		67	T	absolutely no 2nd script		AJ0	DT0 AJ0		0.05	0.0055555557		
36	dismal	decimal	dIz.m0l	dEsIm0l	_def.	68	B			AJ0	NN1		0.38	0.054285713		
37	dour	our	d20r	.20r	title Oh God, our help...	69	B			AJ0	DPS	Q+	0.11	0.0275		
38	elementary	alimentary	El0mEnt0rI	&l0mEnt0rI	coll. alimentary canal	75	B			AJ0	AJ0	C	0.2	0.02		
39	erotic	erratic	0ra?Ik	0r&?Ik	coll. erratic behavior	78	B			AJ0	AJ0	C	0.18	0.03		
40	erroneous	erogenous	0r5..ni0s	0raJ0n.0s	coll. erotic zones	78	B	so many constraints so little diff!!??		AJ0	AJ0	C	0.99	0.11		
41	eternal	internal	i.t9rn0l	Int9rn0l	coll. internal medicine	79	B			AJ0	AJ0	C	0.2	0.025		
42	evanescent	if it isn't	Ev0nEs0nt	If0dIz0nt	idiom if it isn't my old pal	80	T			AJ0	CJS PNP VBZ XX0	I+	1.04	0.115555555		
43	evil	he will	.ivIl	hiwIl		80	T			AJ0	PNP VM0		0.15	0.03		
44	fallow	fellow	f&l5	fEl5	coll. fellow Americans	84	B			AJ0	AJ0	C	0.19	0.0475		
45	fecund	second	fik0nd	sEk0nd	coll. second nature	85	B			AJ0	ORD	C	0.55	0.09166667		
46	flair	fair	fl7r	f.7r	title my fair lady	88	B			AJ0	AJ0	Q+	0.06	0.015		
47	fortunate	fortune	fOrC0n0t	fOrC0n..	coll. fortune cookie	92	B			AJ0	NN1	R	0.11	0.01375		1
48	fragrant	flagrant	fr4gr0nt	fl4gr0nt	coll. flagrant error	92	B			AJ0	AJ0	C	0.13	0.01625		
49	froggy	foggy	fragI	f.agI	title A Foggy Day in London Town (Gershwin)	93	B			AJ0	AJ0	Q+	0.03	0.006		
50	frozen	chosen	fr5z0n	C.5z0n	idiom God's chosen people	94	B			AJ0	AJ0	Q+	1.03	0.17166667		
51	fundamental	from the mantel	f.^nd0mEn?0l	fr0mD0m&n?0l		94	T	what?		AJ0	PRP AT0 NN1		0.71	0.059166666		
52	hard	heart	hard	hart	proverb home is where the heart is	107	T	what?		AJ0	NN1	S+	0.09	0.0225		
53	hollow	hello	hal5	hEl5		112	ne			AJ0	ITJ		0.27	0.0675		
54	impotent	important	Imp0.t0nt	ImpOr?0nt	idiom important moment in history	118	B			AJ0	AJ0	I+	0.46	0.05111111	e	
55	insufferable	inseparable	Ins^f0r0b0l	InsEp0r0b0l	coll. inseperable friends	120	B			AJ0	AJ0	C	0.49	0.044545453		
56	invisible	visible	InvIs0b0l	..vIs0b0l	idiom no visible means of support	121	B	# of syllables different		AJ0	AJ0	I+	0.2	0.022222223		1
57	juvenile	javelin	Juv0n1l	J&v.lIn	_def.	127	T	# of syllables different		AJ0	NN1		1.16	0.16571428		
58	lesbian	let's be an	lE.zbi0n	lEtsbi0n		136	T			AJ0	VVB PNP VBI AT0		0.14	0.0175		
59	marrowing	harrowing	m&r5wIN	h&r5wIN	coll. a harrowing experience	147	B			AJ0	AJ0	C	0.38	0.054285713		
60	meager	eager	mig0r	.ig0r	proverb an early winter makes ... ?	148	B			AJ0	AJ0	S+	0.14	0.028		
61	menstrual	minstrel	mEnstr0l	mInstr0l	title lay of the last minstrel (Walter Scott)	148	T			AJ0	NN1	Q+	0.21	0.02625		1
62	morose	rose	m0r5s	..r5z	coll. rose-colored glasses	153	T	# of syllables different		AJ0	NN1	C	0.25	0.05		1
63	nasal	naval	n4z0l	n4v0l		157	B			AJ0	AJ0		0.52	0.104		
64	natty	naughty	n&?I	nO?I	coll. naughty boy	157	B			AJ0	AJ0	C	0.27	0.0675		
65	nautical	naughty	nO?Ik0l	nO?I...	idiom that's very naughty of them	157	B	# of syllables different		AJ0	AJ0	I+	0.2	0.028571429		1
66	nee	non	ni.	nan	coll. non plus ultra	158	T	morpheme only		AJ0	UNC	F	0.39	0.13		
67	nixed	mixed	nIkst	mIkst	coll. mixed emotions	160	B			AJ0	AJ0	C	0.14	0.028		
68	numb	dumb	n^m	d^m	coll. dumb blonde	162	B			AJ0	AJ0	C	0.38	0.12666667		
69	odd	old	a.d	5ld	proverb old soldiers never die	164	B			AJ0	AJ0	S+	0.33	0.11		
70	opportune	opera tune	ap0r.tjun	ap.r0tjun	coll. opera tune	165	ne			AJ0	NN0 NN1	R	2	0.25	l	
71	orange	arrange	OrInJ	0r4nJ	coll. arrange one's life	119	T	see indigo		AJ0	VVB	I	0.55	0.11	e	
72	passable	possible	p&s0b0l	pas0b0l	proverb politics is the art of the possible	171	B			AJ0	AJ0	S+	0.23	0.032857142		
73	penal	penile	pin0l	pin1l	_def.	173	B	WS had penial-penal		AJ0	AJ0		0.2	0.04		
74	platonic	tonic	pl0tanIk	...tanIk		178	T	odd, just ∑ inserted		AJ0	NN1		0.26	0.0325		1
75	polite	lighted	p0l1t..	..l1?Id		178	B	to make a polite entrance the pun is on "entrance:" door vs. entering		AJ0	AJ0		0.57	0.08142857	l	
76	prostituting	prosecuting	prast0tjutIN	pras.0kjutIN	coll. prosecuting attorney	183	B			AJ0	AJ0	R	0.23	0.019166667		
77	pubic	public	pjub.Ik	p.^blIk	coll. public-opinion poll	184	B			AJ0	AJ0	R	0.46	0.065714285		
78	pubic	cubic	pjubIk	kjubIk	coll. cubic centimeter	184	B	sentimeter?		AJ0	AJ0	C	0.24	0.04		
79	quaint	ain't	kw4nt	..4nt	idiom appears to be what it ain't	188	T			AJ0	VBB XX0	E+	0.21	0.042		
80	quibbling	sibling	kwIblIN	s.IblIN	coll. sibling rivalry	188	B			AJ0	NN1	R	0.38	0.054285713		
81	quipping	whipping	kwIpIN	.wIpIN	coll. whipping boy	189	B			AJ0	AJ0	R	0.1	0.016666668		
82	rare	pear	r7r	p7r	quote a partrigde in a pear tree	218	B	see spree		AJ0	NN1	Q+	0.66	0.22		
83	reclining	declining	rIkl1nIN	dIkl1nIN	coll. the declining years	193	B			AJ0	AJ0	C	0.44	0.055		
84	rhymed	rind	r1md	r1nd	coll. orange rind	196	B			AJ0	NN1	R	0.11	0.0275		
85	rid	red	rId	rEd	coll. red-letter day	197	B			AJ0	AJ0	R	0.2	0.06666667		
86	rile	real	r1l	ril		197	B		Irish accent	AJ0	AJ0		0.3	0.1		
87	rued	road	rud	r5d		199	B			AJ0	NN1		0.27	0.09		
88	runed	ruined	ru.nd	ruInd		200	B			AJ0	AJ0		0.11	0.022		
89	short	sort	SOrt	sOrt	coll. that sort of thing	210	T	*Ident(man) sucks b/c everything else is Ident, sounds similar		AJ0	NN1	I	0.09	0.0225		
90	sinister	spinster	s.InIst0r	spIn.st0r	_def.	211	ne			AJ0	NN1		0.34	0.037777778		1
91	snaky	shaky	sn4kI	S.4kI		214	B			AJ0	AJ0		0.27	0.054		
92	sordid	assorted	.sOrdId	0sOrtId	coll. assorted flavors	215	B			AJ0	AJ0	C	0.16	0.022857143		-1
93	sour	our	s20r	.20r	idiom ... is our heritage	216	B			AJ0	DPS	E+	0.08	0.02		
94	stationary	station	st4S.n7rI	st4S0n...	coll. station wagon	219	B			AJ0	NN1	R	1.2	0.13333334		2
95	terse	Thurs(day)	t9rs	T9rz		229	B		some dialect?	AJ0	NP0		0.25	0.0625		
96	tintative	tentative	tIn?0tIv	tEn?0tIv		119	B	P non-word		AJ0	AJ0		0.2	0.025		
97	tortuous	thought she was	tOrCu.0s	TOtSiw0z		234	T	Ident(voic)-Sc/V_#		AJ0	VVD PNP VBD		1.21	0.15125		
98	touring	towering	t8rIN	t2rIN	idiom mountains towering among the clouds	234	B			AJ0	AJ0	E+	0.3	0.06		
99	tropical	topical	trapIk0l	t.apIk0l	coll. topical subject	236	B	what?		AJ0	AJ0	C	0.03	0.00375		
100	utter	butter	.^?0r	b^?0r	coll.s bread and butter utter nonsense	241	B	interesting collocation interaction		AJ0	NP0	B	0.21	0.042		
101	vapid	rapid	v&pId	r&pId	coll. rapid transit system	243	B			AJ0	AJ0	R	0.44	0.088		
102	vast	west	v&st	wEst	coll. West Point	243	B			AJ0	NN1	R	0.27	0.0675		
103	half vast	half-assed	h&f&st	h&f&sd	coll. half-assed	243	B			AJ0	AJ0	R	0.11	0.018333333		
104	vicarious	why carry us	v1k7ri0s	w1k7rI0s		245	T			AJ0	AVQ VVB PNP		0.18	0.0225		
105	vicious	wishes	vIS0s	wIS0z	idiom best wishes for a merry christmas	245	T			AJ0	NN2	I+	0.15	0.03		
106	vocal	local	v5k0l	l5k0l	coll. local anesthetic	246	B			AJ0	AJ0	C	0.44	0.088		
107	vulgar	Volga	v^lg0r	valg0.	title the Volga boatman	247	B			AJ0	NP0	Q+	0.29	0.048333332		
108	vying	dying	v1IN	d1IN	coll. a dying breed	247	B			AJ0	AJ0	C	0.44	0.11		
109	weird	word	w6rd	w9rd	idiom word of mouth	251	T			AJ0	NN1	I+	0.3	0.075		
110	wrangled	spangled	r.&Ng0ld	sp&Ng0ld	coll. star-spangled banner	256	B			AJ0	AJ0	C	0.9	0.1125		
111	a cute	acute	0kjut	0kjut		186	B	see pyorrhea		AT0 AJ0	AJ0		0	0		
112	not T.	naughty	nati	nO?I		225	B			XX0 ZZ0	AJ0		0.51	0.1275		
113	old boys	oboes	5ldb3z	5..b5z		245	B	see vile		AJ0 NN2	NN2		0.46	0.07666667		
114	Indian pendants	independence	Indi0npEnd0ns	Ind.0.pEnd0ns	coll. declaration of independence	172	B	see pendant		AJ0 NN1	NN1	I	0.23	0.017692307		
115	one's cone	one stone	w^nsk5n	w^nst5n	proverb kill two birds with one stone	53	B			PNP POS NN1	CRD NN1	S+	0.14	0.02		
116	past man	postman	p&stm&n	p5stm0n	title the postman always rings twice	171	B			AJ0 NN1	NN1	Q+	0.52	0.074285716		
117	carafe tea	crafty	k0r&fti	k.r&ftI		43	B			AJ0 NN0	AJ0		0.14	0.02		
118	sore shearer	sorcerer	sOrS6r0r	sOrs0r0r	coll. sorcerer's apprentice	215	B			AJ0 NN1	NN1	R	0.39	0.04875	l	
119	amphibian	I'm fibbing	0mfIbi0n	1mfIb.0N	idiom you think I'm fibbing, do you?	12	B	Adv -> subordinate phrase		AV0	PNP VBB VVG	E+	0.47	0.05875		
120	farther	father	farD0r	fa.D0r	coll. step father	84	P	Target not synt,3 ???		AV0	NN1	R	0.03	0.005		
121	fit	fifth	fI.t	fIfT		88	B			AV0	AV0		0.62	0.155		
122	innuendo	in the window	InjuwEnd5	InD0wInd5		120	T			AV0	PRP AT0 NN1		1.47	0.16333333		
123	internal	eternal	0nt9rn0l	0.t9rn0l	title hope springs eternal	121	ne			AV0	AV0	Q+	0.1	0.0125		
124	lying	lion	l1IN	l10n	coll. Richard the Lionhearted	256	B	see wretched		AV0	NN1	I	0.2	0.05		
125	right	night	r1t	n1t	title I could have danced all night	197	B			AV0	NN1	Q+	0.31	0.10333333		
126	sad	sat	s&d	s&t		201	B			AV0	VVD		0.09	0.03		
127	violetly	violently	v10lI.tlI	v10l0ntlI		118	B	see indigo		AV0	AV0		0.11	0.012222222		
128	wound	round	w2nd	r2nd	idiom see you around	255	B			AV0	AV0	I+	0.14	0.035		
129	afire	of fire	0f1r	Of1r	coll. pillar of fire	176	B	see pillow		AV0	PRP NN1	I	0	0		
130	mine eyes	mayonnaise	m1.n1z	m40n4z	_def.	150	ne			AJ0 NN2	NN1		0.61	0.10166667		
131	blight	bite	bl1t	b.1t	idiom his bark is worse than his bite	31	B			NN1	NN1	E+	0.06	0.015		
132	dink	link	dINk	lINk	coll. weakest link	67	B			NN1	NN1	C	0.44	0.11		
133	estrangers	strangers	Estr4nJ0rz	.str4nJ0rz	title strangers in the night	79	B			NN2	NN2	Q+	0.38	0.038		1
134	par	pa	par	pa.		169	B	WS had par-pear		UNC	NN1		0.03	0.01		
135	each	itch	iC	IC	_def.	73	ne	no 2nd script		AT0	NN1		0.1	0.05		
136	a llama	alarm her	0la.m0.	0larm0r		140	T			AT0 NN1	VVB PNP		0.08	0.011428571		
137	aloof	a roof	0luf	0ruf	_def.	11	ne		Chinese	UNC	AT0 NN1		0.11	0.0275		
138	a nymph	(a)n imp	0nImf	0nImp	hare lip cleft palate talk	162	B			AT0 NN1	AT0 NN1		0.23	0.046		
139	a tea daze	80 days	0tid4z	4?Id4z	title around the world in 80 days	63	B			AT0 NN0 NN1	CRD NN2	Q+	0.55	0.09166667	l	
140	a ghost	aghast	0g5st	0gast	idiom be aghast at something	97	B			AT0 NN1	AJ0	I+	0.27	0.054		
141	a swan	as one	0swan	0sw^n	title two hearts that beat as one	223	B	word boundaries differ pun->target		AT0 NN1	PRP PN1	Q+	0.21	0.042		
142	a tome	at home	0t.5m	0th5m	idiom feel at home	233	B	word boundaries diff. pun->target		AT0 NN1	PRP NN1	I+	0.07	0.014		
143	a goon	a-gone	0gun	0gan	title Gone with the Wind	100	B	title mangled, ouch		AT0 NN1	VVN	Q+	0.29	0.0725		
144	a Freud	afraid	0fr3d	0fr4d		93	T			AT0 NP0	AJ0		0.29	0.058		
145	a boot	about	0but	0b2t	idiom it's about time	33	T			AT0 NN1	AV0	E+	0.29	0.0725		
146	an oaf	a loaf	0n5f	0l5f	proverb half a loaf is better than none	163	B			AT0 NN1	AT0 NN1	S+	0.23	0.0575		
147	avaunt	I want	0vOnt	1want		19	T		French	ITJ	PNP VVB		0.53	0.106		
148	Begorra	Gomorrah	b0gOr0	g0mOr0	coll. Sodom and Gomorrah	27	T	#NAME?		ITJ	NP0	B	1.1	0.18333334		
149	wow	how	w2	h2	quote how do I love thee	256	ne			ITJ	AVQ	Q+	0.38	0.19		
150	pickle	tickle	pIk0l	tIk0l	idiom tickle one's fancy	175	B			VVI	VVI	I+	0.18	0.036		
151	ream	dream	.rim	drim	title to sleep, perchance to dream	192	B			VVI	VVI	Q+	0.09	0.0225		
152	yank	thank	j&Nk	T&Nk	idiom have only oneself to thank	259	B			VVI	VVI	I+	1	0.25		
153	yell	hell	jEl	hEl	idiom go to hell	259	B			VVI	NN1	E+	0.44	0.14666666		
154	zinc	think	zINk	TINk	idiom stop to think	262	B			VVI	VVI	I+	0.66	0.165		
155	aberration	adoration	&b0r4S0n	&d0r4S0n	coll. mutual adoration	6	B			NN1	NN1	C	0.21	0.02625		
156	acre	a cur	4k0r	0k9r	_def.	7	ne			NN1	AT0 NN1		0.57	0.1425	e	
157	acrimony	matrimony	.&krIm5nI	m&trIm5nI	_def.	7	ne			NN1	NN1		0.33	0.036666665		
158	acrimony	alimony	&krIm5nI	&.lIm5nI	_def.	7	ne			NN1	NN1		0.23	0.02875		
159	adder	had 'er	.&d0r	h&d0r	idiom I had her	7	T	see boa		NN1	VHD PNP	I+	0.07	0.014		
160	ale	hell	.4l	hEl	idiom what the hell	10	T	see ale-all, see rum		NN1	NN1	I+	0.33	0.11		
161	alternative	altar native	Olt9rn0tIv	Olt0rn4tIv		11	ne			NN1	NN0 NN1		0.57	0.057	l	
162	amnesty	I'm nasty	&mn0stI	1mn&stI		12	ne			NN1	PNP VBB AJ0		0.46	0.065714285	e	
163	antipasto	anti-pasta	&n?Ipast5	&n?Ipast0	_def.	14	ne		Italian	NN1	NN1		0.23	0.025555555		
164	apostle	a parcel	0pa.s0l	0pars0l	_def.	14	ne			NN1	AT0 NN1		0.04	0.0057142857		
165	argon	Oregon	ar.g0n	Or0g0n	_def.	15	ne			NN1	NP0		0.31	0.051666666		
166	arson	horsin'	.ars0n	hOrs0n	idiom stop horsing around	16	T			NN1	VVG	E+	0.31	0.051666666		
167	aspen	askin'	&sp0n	&skIn		17	T	see poplar, alder		NN1	VVG		0.24	0.048		
168	ass	grass	..&s	gr&s	title the green, green grass of home	17	B			NN1	NN1	Q+	0.42	0.105		
169	ax	X	&ks	Eks	_def.	20	ne			NN1	ZZ0		0.19	0.06333333		
170	badger	bad you	b&J0r	b&J0.		22	T			NN1	AV0 PNP		0.03	0.006		
171	badinage	bad in age	b&dInaZ	b&dIn4J		22	T			NN1	AV0 PRP NN1		0.6	0.08571429		
172	bagel	bay gull	b4g0l	b4g^l	_def.	22	ne			NN1	NN0 NN1		0.27	0.054		
173	banana	been any	b0n&n0	bInEnI	idiom been any messages for me	23	T			NN1	VBN AT0	I+	0.19	0.031666666	l	
174	bard	bird	bard	b9rd	proverb birds of a feather ...	24	B			NN1	NN1	S+	0.29	0.0725		
175	bargain	bar gain	barg0n	barg4n	_def.	24	ne			NN1	NN0 NN1		0.28	0.046666667		
176	beck	back	bEk	b&k		26	B	what?		NN1	NN1		0.2	0.06666667		
177	beguine	begin	bIgin	bIgIn	idiom begin at the beginning	28	T	beguine=dance		NN1	VVI	S+	0.1	0.02		
178	beret	bray	b0r4	b.r4	_def.	28	ne			NN1	NN1		0.04	0.01		1
179	berry	bury	bErI	b9rI	title bury me on the lone prairie	28	T			NN1	VVB	Q+	0.29	0.0725		
180	billet	Billy	bIlIt	bIlI.	coll. hill billy	30	ne	proper name		NN1	NP0	R	0.07	0.014		
181	bloomer	blew my	blum0r	blum1.		31	T			NN1	VVD DPS		0.23	0.038333334		
182	bone	born	b5.n	bOrn		32	ne		southern US dialect	NN1	VVB		0.3	0.075		
183	bordello	bored hello	bOrd.El5	bOrdhEl5	_def.	33	ne			NN1	AJ0 NN1		0.07	0.00875	l	
184	burro	borrow	b9r5	bar5		38	T			NN1	VVI		0.29	0.0725		
185	Carnage	Carthage	karnIJ	karTIJ		0	ne	where?		NN1	NP0		1	0.16666667		
186	carrot	car ought	k&r0t	karOt	proverb put the cart before the horse	43	T			NN1	NN1 VMB	S+	0.48	0.096		
187	caucus	carcass	kO.k0s	kark0s	_def.	44	ne			NN1	NN1		0.29	0.048333332		
188	centaur	cent whore	sEnt.Or	sEnthOr	_def.	45	ne			NN1	NN0 NN1		0.07	0.01		
189	chair	cheer	C7r	Cir	idiom three hearty cheers	45	B			NN1	NN1	I+	0.29	0.096666664		
190	chairman	charming	C7rm0n	CarmIN	idiom it's been charming	45	T			NN1	AJ0	I+	0.43	0.071666665		
191	chandelier	Chanticleer	S&nd0.l6r	C&n?0kl6r	_def.	46	ne			NN1	NP0		0.45	0.05		
192	chivalry	shivery	SIv0lrI	SIv0.rI	_def.	48	ne			NN1	AJ0		0.06	0.008571428		
193	chops	cops	Caps	kaps		48	T			NN2	NN2		0.38	0.095		
194	chowder	showed her	C2d0r	S5d0r		48	T			NN1	VVD PNP		0.48	0.096		
195	chub	shove	C^b	S^v	idiom show someone around	48	T			NN1	VVI	I+	0.37	0.123333335		
196	commonplace	come and place	kam0npl4s	k^m0npl4s		52	T			NN1	VVB CJC VVB		0.21	0.023333333		
197	conversation	condensation	kanv0rs4S0n	kand0ns4S0n	_def.	54	ne			NN1	NN1		0.75	0.06818182		
198	cow	how	k2	h2	quote how, shall I love thee	57	ne			NN1	AVQ	Q+	0.38	0.19		
199	crash	cash	kr&S	k.&S		57	B	what?		NN1	NN1		0.03	0.0075		
200	crass	class	kr&s	kl&s	coll. middle-class	57	B	only morpheme		NN1	AJ0	R	0.13	0.0325		
201	creep	keep	krip	k.ip	coll. upkeep	58	B	only morpheme		NN1	NN1	R	0.03	0.0075		
202	criminal	cream in all	krIm0n0l	krimInOl		58	T			NN1	NN1 PRP AT0		0.4	0.05		
203	cudgel	cordial	k^.J0l	kOrJ0l		60	T			NN1	AJ0		0.32	0.053333335		
204	cymbal	simple	sImb0l	sImp0l	idiom not as simple as it looks	61	T			NN1	AJ0	E+	0.14	0.023333333		
205	Dallas	dollars	d&l0.s	dal0rz		229	ne	see Texas		NP0	NN2		0.34	0.05666667		
206	dance	dunce	d&ns	d^ns	_def.	63	ne	what?		NN1	NN1		0.27	0.0675		
207	deacon	beacon	dik0n	bik0n	_def.	63	ne			NN1	NN1		0.38	0.076		
208	deadlock	wedlock	dEdlak	wEdlak	title holy wedlock	63	ne	WS has deadlock-bedlock		NN1	NN1	Q+	1	0.16666667		
209	deceiving	receiving	dIsivIN	rIsivIN		63	ne			NN1	NN1		0.29	0.04142857		
210	dishes	this is	dISIz	DIsIz		68	B	knock-knock		NN2	DT0 VBB		0.14	0.028		
211	divan	divine	dIv&n	dIv1n	idiom look divine	68	T			NN1	AJ0	I+	0.22	0.044	e	
212	doormat	dormant	dOrm&.t	dOrm0nt	coll. lie dormant	69	T			NN1	AJ0	I	0.33	0.047142856		
213	druid	do it	druId	d.uIt		70	T			NN1	VDB PNP		0.12	0.024		
214	duenna thing	do anything	duEn0TIN	duEnITIN		71	T			NN1	VDI PNP		0	0		
215	dusk	dust	d^sk	d^st	_def.	72	ne			NN1	NN1		0.14	0.035		
216	dybbuk	the book	dIb0k	D0bUk	coll. book-of-the-month club	72	ne			NN1	AT0 NN1	C	0.34	0.068	e	
217	eagle	equal	ig.0l	ikw0l	idiom all men are created equal	73	T			NN1	AJ0	Q+	0.23	0.046		
218	ear	hear	.6r	h6r	coll. corn ear	73	T			NN1	VVB	R	0.07	0.023333333		
219	easel	weasel	.iz0l	wiz0l	coll. weasel out of a problem	74	T			NN1	VVB	I	0.13	0.026		
220	Easter	used to	.ist0r	just0.		74	T	WS had Easter-ceased to		NN1	VVD TO0		0.42	0.07		
221	echelon	it's a long	E.S0lan	Its0laN	title it's a long way to Tipperary	74	ne			NN1	PNP VBZ AT0 AJ0	Q+	0.51	0.07285714		
222	elastic	Alaska	0l&stIk	0l&sk0.	coll. Baked Alaska	75	B			NN1	NP0	C	0.27	0.03857143		
223	eon	a yawn	i.0n	0jOn	_def.	78	ne			NN1	AT0 NN1		0.58	0.145	e	
224	epidemic	epidermic	Ep0dE.mIk	Ep0d9rmIk	_def.	78	ne			NN1	NN1		0.33	0.036666665		
225	epitaph	epigram	Ep0t.&f	Ep0gr&m	_def.	78	ne			NN1	NN1		1.14	0.16285715		
226	erg	urge	9rg	9rJ	coll. urge s.o. on (phrasal verb)	78	T			NN1	VVB	P	0.66	0.22		
227	eucalyptus	you clipped us	juk0lIpt0s	juk.lIpt0s	idiom you clipped us	80	ne			NN1	PNP VVD PNP	I+	0.04	0.004		1
228	F	if	Ef	If		83	T			NN1	CJS		0.21	0.105		
229	faker	acre	f4k0r	.4k0r	coll. God's acre	83	B			NN1	NN1	R	0.27	0.054		
230	famine	farming	f&.mIn	farmIN		84	B		New England dialect	NN1	NN1		0.41	0.068333335		
231	feline	feelin'	fil1n	filIn	idiom feeling one's oats	85	T			NN1	VVG	E+	0.28	0.056		
232	finch	finished	fIn.C	fInIS	_def.	87	ne			NN1	AJ0		0.3	0.06		-1
233	fink	think	fINk	TINk	quote I think, therefore I am	87	T			NN1	VB	Q+	0.24	0.06		
234	fjord	Ford	fjOrd	f.Ord	_def.	88	ne			NN1	NP0		0.1	0.02		
235	flesh	fresh	flES	frES	quote the pause that refreshes	89	B	just morpheme		NN1	NN1	Q+	0.11	0.0275		
236	flotation	flirtation	fl5.t4S0n	fl9rt4S0n	_def.	89	ne			NN1	NN1		0.34	0.037777778		
237	folder	for older	f..5ld0r	f0r5ld0r	idiom show respect for older people	91	T	no 2nd script		NN1	PRP AJC	E+	0.11	0.01375		
238	font	found	fant	f2nd	_def.	91	T	see agate		NN1	AJ0		0.38	0.095		
239	frenzy	friends he	frEn.zI	frEndzi		93	T			NN1	NN1 PNP		0.24	0.034285713		
240	gaucho	Graucho	g.2C5	gr2C5	name Gaucho Marx	96	B			NN1	NP0	R	0.04	0.008		
241	gentile	gentle	JEnt1l	JEnt0l	quote do not go gentle into that good night (Dylan Thomas)	96	B			NN1	NN1	Q+	0.29	0.048333332		
242	gob	got	gab	gat	idiom if you gotta go ...	99	T			NN1	VMB	S+	0.44	0.14666666		
243	guitar	got to	gItar	ga?0.	idiom if you gotta go ...	103	T			NN1	VVN	S+	0.72	0.144		
